"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Отправка набора данных на сервер методом POST","305","Создание заказа с разными вариантами цветов самоката и без его указания","tests","Mon Aug 18 20:59:19 CEST 2025","passed","Mon Aug 18 20:59:19 CEST 2025","TestCreateOrder","test_create_order","",""
"Отправка данных без обязательного поля на сервер методом POST","310","Проверка невозможности создания курьера без обязательного поля","tests","Mon Aug 18 20:59:18 CEST 2025","passed","Mon Aug 18 20:59:18 CEST 2025","TestCreateCourier","test_create_courier","",""
"Отправка валидных данных на сервер методом POST","807","Возможность курьеру залогиниться с валидными данными","tests","Mon Aug 18 20:59:23 CEST 2025","passed","Mon Aug 18 20:59:24 CEST 2025","TestLoginCourier","test_login_courier","",""
"Отправка несуществующих данных на сервер методом POST","284","Невозможность залогиниться несуществующим пользователем","tests","Mon Aug 18 20:59:25 CEST 2025","passed","Mon Aug 18 20:59:25 CEST 2025","TestLoginCourier","test_login_courier","",""
"Отправка набора данных на сервер методом POST","502","Создание заказа с разными вариантами цветов самоката и без его указания","tests","Mon Aug 18 20:59:18 CEST 2025","passed","Mon Aug 18 20:59:19 CEST 2025","TestCreateOrder","test_create_order","",""
"Отправка набора двух одинаковых данных на сервер методом POST","525","Проверка невозможности создания двух одинаковых курьеров","tests","Mon Aug 18 20:59:17 CEST 2025","passed","Mon Aug 18 20:59:18 CEST 2025","TestCreateCourier","test_create_courier","",""
"Отправка запроса на сервер методом GET","4226","Получения списка заказов с сервера","tests","Mon Aug 18 20:59:19 CEST 2025","passed","Mon Aug 18 20:59:23 CEST 2025","TestGetOrdersList","test_get_orders_list","",""
"Отправка набора данных на сервер методом POST","303","Создание заказа с разными вариантами цветов самоката и без его указания","tests","Mon Aug 18 20:59:19 CEST 2025","passed","Mon Aug 18 20:59:19 CEST 2025","TestCreateOrder","test_create_order","",""
"Отправка только логина на сервер методом POST","589","Невозможность залогиниться без заполнения одного из обязательных полей","tests","Mon Aug 18 20:59:24 CEST 2025","passed","Mon Aug 18 20:59:25 CEST 2025","TestLoginCourier","test_login_courier","",""
"Отправка данных на сервер методом POST","856","Проверка создания курьера с валидными данными","tests","Mon Aug 18 20:59:16 CEST 2025","passed","Mon Aug 18 20:59:17 CEST 2025","TestCreateCourier","test_create_courier","",""
